doc,utterance,speaker,query,text,exactage,age1994,agerange,gender,nat,birthplace,birthcountry,l1,lingorig,dialect_rep,hab_city,hab_country,hab_dur,dialect_l1,dialect_l2,dialect_l3,dialect_l4,edqual,occupation,socgrade,nssec,l2,fls,in_core,rec_length,rec_date,rec_year,rec_period,n_speakers,list_speakers,rec_loc,relationships,topics,activity,conv_type,conventions,in_sample,transcriber
S59W,455,S0013,I 've got to V,I 've got to switch,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:59:11,2015-05-13,2015,2015_Q2,3,S0012 S0013 S0152,Freelancer's home,"Close family, partners, very close friends","Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping",Just come round!,"Discussing, Explaining, Complaining, Making arrangements",Revised,n,T09
S59W,457,S0013,I 've got to V,I 've got to go,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:59:11,2015-05-13,2015,2015_Q2,3,S0012 S0013 S0152,Freelancer's home,"Close family, partners, very close friends","Football, application form, problem children, baby birds in nest, cockerel, birthdays, 3D printing, houses, shabby workmanship, not sleeping",Just come round!,"Discussing, Explaining, Complaining, Making arrangements",Revised,n,T09
SP5U,554,S0013,I 've got to V,I 've got to empty,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:29:43,2014-10-03,2014,2014_Q4,2,S0012 S0013,Speakers' home,"Close family, partners, very close friends",no info,Back after shopping,Discussing ,Revised,y,T15
SZNG,1669,S0013,I 've got to V,I 've got to go,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:57:06,2015-02-04,2015,2015_Q1,3,S0008 S0012 S0013,Speakers' home,"Close family, partners, very close friends","Food, bus pass, CCT cameras, TV, guns and war, birds, houses, coast, laminator, loft insulation, health, cars",Chatting over lunch,"Discussing, explaining",Revised,n,T09
SU8C,1764,S0013,I 've got to V,I 've got to change,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:01:28,2014-10-31,2014,2014_Q4,3,S0008 S0012 S0013,Speakers' home,"Close family, partners, very close friends","Politics, benefits, TV",no info,"Discussing, explaining ",Revised,y,T10
ST64,391,S0013,I 've got to V,I 've got to do,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:30:29,2014-09-27,2014,2014_Q3,2,S0012 S0013,Speakers' home,"Close family, partners, very close friends",no info,no info,Discussing,Revised,y,T20
S38P,1442,S0013,I 've got to V,I 've got to do,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:54:38,2015-05-28,2015,2015_Q2,3,S0012 S0013 S0278,Freelancer's home,"Close family, partners, very close friends","Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",Late for break time!,"Discussing, Explaining, Inquiring",Revised,n,T10
S38P,19,S0278,I 've got to V,I 've got to spend,66,60plus,60_69,M,British,Middlesex,England,English,England,None indicated,,England,9,unspecified,unspecified,unspecified,unspecified,4_graduate,proprietor,A,1_1,,,y,0:54:38,2015-05-28,2015,2015_Q2,3,S0012 S0013 S0278,Freelancer's home,"Close family, partners, very close friends","Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",Late for break time!,"Discussing, Explaining, Inquiring",Revised,n,T10
S38P,21,S0278,I 've got to V,I 've got to check,66,60plus,60_69,M,British,Middlesex,England,English,England,None indicated,,England,9,unspecified,unspecified,unspecified,unspecified,4_graduate,proprietor,A,1_1,,,y,0:54:38,2015-05-28,2015,2015_Q2,3,S0012 S0013 S0278,Freelancer's home,"Close family, partners, very close friends","Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",Late for break time!,"Discussing, Explaining, Inquiring",Revised,n,T10
S38P,112,S0278,I 've got to V,I 've got to pull,66,60plus,60_69,M,British,Middlesex,England,English,England,None indicated,,England,9,unspecified,unspecified,unspecified,unspecified,4_graduate,proprietor,A,1_1,,,y,0:54:38,2015-05-28,2015,2015_Q2,3,S0012 S0013 S0278,Freelancer's home,"Close family, partners, very close friends","Coffee, driving, Gambia, Munchausen Syndrome, making a donation box, plants, banners, bell ringing",Late for break time!,"Discussing, Explaining, Inquiring",Revised,n,T10
S6YA,649,S0013,I 've got to V,I 've got to go,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,1:37:16,2015-05-12,2015,2015_Q2,3,S0012 S0013 S0152,Speakers' home,"Close family, partners, very close friends","trip to London, horses, school, Youth hostel in Cornwall, selling houses, cars, TV, travelling, buying houses, election, eBay, football, health, money",Talking about allsorts,"Discussing, explaining, buying/selling",Revised,n,T10
SFXU,234,S0013,I 've got to V,I 've got to do,63,60plus,60_69,F,British,"Harrow, Middlesex",England,English,England,Southern,"Dereham, Norfolk",England,36 years,uk,england,south,unspecified,3_sixthform,Childminder (retired),E,8,,,y,0:39:39,2012-04-11,2012,2012_Q2,4,S0012 S0013 S0024 S0144,"ANON's home, Norfolk","Close family, partners, very close friends","Jumble sales, Thatcher, seeds, tax",Family have a chat over a cup of tea.,"Discussing, explaining, anecdote telling",Original,y,T20
