doc,utterance,speaker,query,result,adj_text,adj_semtag,adj_semdesc
SN64,834,S0588,that 's ADJ - start,that 's ridiculous,ridiculous,S1:2:6,Sensible
SN64,854,S0588,that 's ADJ - start,that 's ridiculous,ridiculous,S1:2:6,Sensible
SN64,1300,S0588,that 's ADJ - start,that 's amazing,amazing,O4:2,Judgement of appearance (pretty etc.)
SN64,1448,S0588,that 's ADJ - start,that 's nice,nice,O4:2,Judgement of appearance (pretty etc.)
SN64,1750,S0590,that 's ADJ - start,that 's wrong,wrong,A5:3,Evaluation:- Accuracy
SN64,1751,S0589,that 's ADJ - start,that 's correct,correct,A5:3,Evaluation:- Accuracy
SL8N,37,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,64,S0008,that 's ADJ - start,that 's true,true,A5:2,Evaluation:- True/false
SL8N,99,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,171,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,193,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,195,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,203,S0013,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,210,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,220,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,233,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,274,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,320,S0008,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,332,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,344,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,358,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,383,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
SL8N,387,S0012,that 's ADJ - start,that 's right,right,A5:3,Evaluation:- Accuracy
